run_index,body_h_cm,step_len_cm,speed_m_per_s,speed_cm_per_s,foot_lift_cm,rand_order
1,20,15,0.05,5,8,25
2,20,15,0.1,10,8,31
3,20,15,0.2,20,8,34
4,20,15,0.3,30,8,12
5,20,20,0.05,5,8,9
6,20,20,0.1,10,8,28
7,20,20,0.2,20,8,13
8,20,20,0.3,30,8,44
9,20,30,0.05,5,8,11
10,20,30,0.1,10,8,20
11,20,30,0.2,20,8,39
12,20,30,0.3,30,8,29
13,20,40,0.05,5,8,7
14,20,40,0.1,10,8,16
15,20,40,0.2,20,8,46
16,20,40,0.3,30,8,19
17,25,15,0.05,5,8,21
18,25,15,0.1,10,8,17
19,25,15,0.2,20,8,41
20,25,15,0.3,30,8,8
21,25,20,0.05,5,8,43
22,25,20,0.1,10,8,33
23,25,20,0.2,20,8,40
24,25,20,0.3,30,8,37
25,25,30,0.05,5,8,5
26,25,30,0.1,10,8,10
27,25,30,0.2,20,8,3
28,25,30,0.3,30,8,1
29,25,40,0.05,5,8,47
30,25,40,0.1,10,8,22
31,25,40,0.2,20,8,27
32,25,40,0.3,30,8,26
33,30,15,0.05,5,8,23
34,30,15,0.1,10,8,15
35,30,15,0.2,20,8,30
36,30,15,0.3,30,8,36
37,30,20,0.05,5,8,35
38,30,20,0.1,10,8,6
39,30,20,0.2,20,8,48
40,30,20,0.3,30,8,14
41,30,30,0.05,5,8,2
42,30,30,0.1,10,8,38
43,30,30,0.2,20,8,45
44,30,30,0.3,30,8,4
45,30,40,0.05,5,8,32
46,30,40,0.1,10,8,18
47,30,40,0.2,20,8,24
48,30,40,0.3,30,8,42
